Disease,Symptom1,Symptom2,Symptom3,Precautions,Medications,Specialist,Tests,Causes
Diabetes,Frequent Urination,Increased Thirst,Fatigue,"Maintain a balanced diet, exercise regularly, monitor blood sugar levels, and avoid sugary foods.",Metformin,Endocrinologist,"Blood Sugar Test, HbA1c Test","Genetic factors, Obesity, Insulin resistance"
Malaria,Fever,Headache,Chills,"Use mosquito nets, wear long-sleeved clothing, apply insect repellent, and avoid stagnant water.",Chloroquine,Infectious Disease Specialist,"Blood Smear Test, Rapid Diagnostic Test","Mosquito bite, Plasmodium infection"
Common Cold,Sneezing,Sore Throat,Cough,"Wash hands frequently, avoid close contact with sick individuals, stay hydrated, and get adequate rest.",Paracetamol,General Physician,"No specific test, Clinical diagnosis","Viral infection, Weakened immune system"
Hypertension,Headache,Dizziness,Blurred Vision,"Reduce salt intake, exercise regularly, avoid smoking and alcohol, and manage stress.",Lisinopril,Cardiologist,"Blood Pressure Test, ECG, Blood Tests","High salt intake, Stress, Obesity"
Arthritis,Joint Pain,Stiffness,Swelling,"Maintain a healthy weight, exercise regularly, avoid repetitive motions, and use joint protection techniques.",Ibuprofen,Rheumatologist,"X-ray, MRI, Blood Tests","Aging, Autoimmune disorders, Joint injury"
Gastritis,Stomach Pain,Nausea,Indigestion,"Avoid spicy and acidic foods, eat smaller meals, limit alcohol consumption, and manage stress.",Antacids,Gastroenterologist,Unknown,Unknown
Migraine,Headache,Nausea,Sensitivity to Light,"Identify and avoid triggers like stress and certain foods, maintain a regular sleep schedule, and stay hydrated.",Sumatriptan,Neurologist,Unknown,Unknown
Dengue,Fever,Muscle Pain,Rash,"Prevent mosquito bites by using repellents, wear protective clothing, and eliminate standing water around your home.",Paracetamol,Infectious Disease Specialist,Unknown,Unknown
Bronchitis,Cough,Chest Discomfort,Fatigue,"Quit smoking, avoid irritants like dust and pollution, stay hydrated, and get plenty of rest.",Amoxicillin,Pulmonologist,Unknown,Unknown
COVID-19,Fever,Cough,Shortness of breath,"Wear mask, sanitize hands, social distance","Antivirals, pain relievers",Pulmonologist,Unknown,Unknown
Influenza (Flu),Fever,Body aches,Sore throat,"Flu vaccine, hygiene, avoid sick people","Antivirals, pain relievers",General Physician,Unknown,Unknown
Tuberculosis,Cough (blood-tinged),Night sweats,Weight loss,"BCG vaccine, avoid infected individuals","Antibiotics (Rifampin, Isoniazid)",Pulmonologist,Unknown,Unknown
Malaria,High fever,Chills,Sweating,"Use mosquito nets, antimalarial drugs","Chloroquine, Artemisinin",Infectious Disease Specialist,"Blood Smear Test, Rapid Diagnostic Test","Mosquito bite, Plasmodium infection"
Dengue Fever,High fever,Severe headache,Skin rash,"Mosquito control, ","Pain relievers, IV fluids",Infectious Disease Specialist,Unknown,Unknown
Typhoid,High fever,Abdominal pain,Weakness,"Hygiene, avoid contaminated food/water",Antibiotics (Ciprofloxacin),General Physician,Unknown,Unknown
Cholera,Severe diarrhea,Dehydration,Vomiting,"Clean water, sanitation","ORS, Antibiotics",Infectious Disease Specialist,Unknown,Unknown
Pneumonia,Chest pain,Fever,Cough (mucus),"Vaccination, avoid smoking","Antibiotics, Antivirals",Pulmonologist,Unknown,Unknown
Asthma,Shortness of breath,Wheezing,Chest tightness,"Avoid allergens, inhaler use","Bronchodilators, Steroids",Pulmonologist,Unknown,Unknown
Bronchitis,Persistent cough,Mucus production,Fatigue,"Avoid smoke, stay hydrated","Cough suppressants, Antibiotics (if bacterial)",Pulmonologist,Unknown,Unknown
Diabetes,Frequent urination,Excessive thirst,Fatigue,"Healthy diet, exercise","Insulin, Metformin",Endocrinologist,"Blood Sugar Test, HbA1c Test","Genetic factors, Obesity, Insulin resistance"
Hypertension,Headache,Dizziness,Nosebleeds,"Low-salt diet, exercise","Beta-blockers, ACE inhibitors",Cardiologist,"Blood Pressure Test, ECG, Blood Tests","High salt intake, Stress, Obesity"
Heart Disease,Chest pain,Shortness of breath,Fatigue,"Healthy lifestyle, cholesterol control","Blood thinners, Statins",Cardiologist,Unknown,Unknown
Stroke,Numbness (one side),Confusion,Slurred speech,"Control BP, avoid smoking","Blood thinners, Clot busters",Neurologist,Unknown,Unknown
