Disease,State,District,map1,map2,map3
Diabetes,Telangana,warangal,https://maps.app.goo.gl/iwYzYoNhE49WFNZ3A,https://maps.app.goo.gl/X9vP6VAc3UjXeFvR8?g_st=aw,https://maps.app.goo.gl/gSjhspEakFGgE8DM8?g_st=aw
Malaria,,,https://maps.app.goo.gl/iwYzYoNhE49WFNZ3A,https://maps.app.goo.gl/JCshUYBgYTgnpwaX8?g_st=aw,https://maps.app.goo.gl/6n5FNMx7rcJ7gyT26?g_st=aw
Common Cold,,,https://maps.app.goo.gl/gBFrQ8BG7eLCKNvM8?g_st=aw,https://maps.app.goo.gl/BQ7WseaURnJNfEAR8?g_st=aw,https://maps.app.goo.gl/NK6Bw8UGAiqGS7Vg7?g_st=aw
Hypertension,,,https://maps.app.goo.gl/99SzCNZzip4qF6Qe8,https://maps.app.goo.gl/sDLnN343CukfmbHy7,https://maps.app.goo.gl/1GUb7PBEzWb26DZb6
Arthritis,,,https://maps.app.goo.gl/GxaWZkqWhkNDzHYd6,https://maps.app.goo.gl/Cc1SzyG1d52AM6NG6,https://maps.app.goo.gl/6uBSFdtPFMjbZgp69
Gastritis,,,https://maps.app.goo.gl/dqQWY6K7BFj9Czdu9,https://maps.app.goo.gl/ZXr5ZmkLvTQScmi99,https://maps.app.goo.gl/u9JLzyxeZgGvA6bc8
Migraine,,,https://maps.app.goo.gl/vAWfxWoujCY4Jhkf8,https://maps.app.goo.gl/qMDm1krSREh9ZS4dA,https://maps.app.goo.gl/Cb3vXuF81aTuwyid6
Dengue,,,https://maps.app.goo.gl/fKyj7KbSuXBEnCZg7,https://maps.app.goo.gl/uY85AfBpWWxQ1FQo6,https://maps.app.goo.gl/pc1kcvnfQQfgUa3h7
Bronchitis,,,https://maps.app.goo.gl/dpMQeDL7Gg9ZSkaj8,https://maps.app.goo.gl/e2vkgiwA5na2Lg966,https://maps.app.goo.gl/uXN3mKjsCWcopgkJ8
COVID-19,,,https://maps.app.goo.gl/XQT1HpE669YJJV3W8,https://maps.app.goo.gl/wphDWum7gCeeJ2pF8,https://maps.app.goo.gl/v1bpLS8edRF6iDj99
Influenza (Flu),,,https://maps.app.goo.gl/JDmyZq49QTGidq9G7,https://maps.app.goo.gl/8kkNmr9hh3Qyt7qg8,https://maps.app.goo.gl/LXAna3EXJWFHuEwN8
Tuberculosis,,,https://maps.app.goo.gl/xeS74URvt5Tb8u6N8,,
Malaria,,,https://maps.app.goo.gl/Qn2tD2x6Mf2HstCH8,https://maps.app.goo.gl/k8r3LRN2JxJXnHWP7,https://maps.app.goo.gl/vX5vFaUCQ2ez2wgF7
Dengue Fever,,,https://maps.app.goo.gl/kZgqWAkWDke6MUrZ8,https://maps.app.goo.gl/b3UzkhM9rmY8EPG18,https://maps.app.goo.gl/JW287cH69oNMfmZS7
Typhoid,,,https://maps.app.goo.gl/JW287cH69oNMfmZS7,https://maps.app.goo.gl/pkx2Nyt35229HX4n8,https://maps.app.goo.gl/xEDb4MBjRFB9JJmu9
Cholera,,,https://maps.app.goo.gl/xh8nCTPxLdmWqAAaA,https://maps.app.goo.gl/HtEYuyzTodMeDYHc6,https://maps.app.goo.gl/iaTHGhNUm99EB2xp9
Pneumonia,,,https://maps.app.goo.gl/Ps8s15YdSwEeWGY37,https://maps.app.goo.gl/KCrJD9F8uYMBGAQU9,https://maps.app.goo.gl/YkoxxZYnVx7qK6UZ6
Asthma,,,https://maps.app.goo.gl/7Xn2wAMNqt3vhbWz9,https://maps.app.goo.gl/T4LXigJPEjsDfqDN7,https://maps.app.goo.gl/bw9jvkWa626GDhXL6
Bronchitis,,,https://maps.app.goo.gl/xk5411TAzV4aKkEdA,https://maps.app.goo.gl/UZ1FwG8nxQ2HWgrq6,https://maps.app.goo.gl/UZ1FwG8nxQ2HWgrq6
Diabetes,,,https://maps.app.goo.gl/pazeo3xtgxNNtuor8,https://maps.app.goo.gl/iD9FPRmsVRkc7Aem6,https://maps.app.goo.gl/pazeo3xtgxNNtuor8
Hypertension,,,https://maps.app.goo.gl/e57uuY6VLjZdF56H6,https://maps.app.goo.gl/Bh3Pa5FCTU8xY5sg8,https://maps.app.goo.gl/fS4QvdJgPRwYWFWe7
Heart Disease,,,https://maps.app.goo.gl/HKvhusDq4LUtsTC88,https://maps.app.goo.gl/1MtXrQSrMKj5qETU6,https://maps.app.goo.gl/wZPWsyvRRKFd6b2QA
Stroke,,,https://maps.app.goo.gl/NSQmycwQGVDfnt5d7,https://maps.app.goo.gl/DvkDoquU2uBmtJsJ9,https://maps.app.goo.gl/oQRAUfajkPgop85E7
